"Step","env: HALFCHEETAH - ep_info/run","env: HALFCHEETAH - ep_info/run__MIN","env: HALFCHEETAH - ep_info/run__MAX"
"999","-6.675889628178671","-13.600319071439358","-2.1814825434433454"
"1999","-5.210243086473002","-9.859985645754165","0.9793551812461954"
"2999","-4.700489154510504","-10.183582892686482","2.347550683417525"
"3999","-4.301461786650333","-10.246627466227391","3.124791224215017"
"4999","-3.5073512280256276","-6.753079785481333","0.5553988124382321"
"5999","-3.3783869364117756","-9.496354544656228","2.1425208303856147"
"6999","-5.963288457348915","-12.720039733100425","-0.9509357606155853"
"7999","-5.850747513968532","-13.786679248928682","-0.35546260403781565"
"8999","-7.125137305866349","-12.28788587093498","-4.789998007021921"
"9999","-7.124770887487616","-15.069753131299304","0.06337663233812349"
"10999","-3.7594945358881744","-6.840138648581195","-0.2958951366501637"
"11999","-2.2374773187699315","-3.495136780702644","-0.9627804527099434"
"12999","-0.2071010519793468","-4.43584339758076","6.017006650114063"
"13999","-1.292419379483056","-1.997441405772478","-0.6854939100074793"
"14999","0.2166290342515044","-2.125472174212719","3.070507317345379"
"15999","1.9755705561610077","0.7056863783353258","3.8433646915338024"
"16999","2.382491022229999","1.5726933874084017","3.1442752327889014"
"17999","2.73624387853082","0.8251664656442721","3.50824635938283"
"18999","3.4045990148864966","2.544782506029374","4.953963402187852"
"19999","7.984986453690892","4.204070505075234","13.219627234499336"
"20999","19.180868800583504","10.437510646987612","27.16921419977571"
"21999","28.527344423099986","14.226527523323487","37.753026847104415"
"22999","33.858877629149084","16.86389606948812","45.254172507917424"
"23999","38.24998076071259","20.050458315719386","49.44335052711593"
"24999","45.00278057603692","26.8719559995084","54.96647502908241"
"25999","52.387221199624435","36.491595924422995","61.485806663399984"
"26999","58.67457670520107","41.505167169129344","66.58928036367583"
"27999","62.313603773069474","48.34211856085402","70.11117416331415"
"28999","67.62328227471022","58.095281339401566","76.00869750114717"
"29999","74.01436365530493","66.51460031220194","82.93244682692935"
"30999","78.49320352862105","71.41411642065773","85.44126534643557"
"31999","82.4616620754189","76.6017110133763","88.94185550167774"
"32999","87.6374115305297","81.16930602597662","94.43331085411833"
"33999","92.63045246975264","83.86281142798919","104.1416816091694"
"34999","98.80896957770679","88.04104214542019","112.68526670067885"
"35999","103.25430701152843","89.84801302322653","114.06200066997133"
"36999","107.7886004029571","93.68401151361607","117.83876463640402"
"37999","114.24690518859848","98.08890643653567","124.3184118272284"
"38999","118.42176307297703","104.0766923586819","126.76150094807922"
"39999","122.69294640229732","108.12588705272552","129.87402895367146"
"40999","129.0320730493635","118.4819812042019","135.7298473045661"
"41999","133.30175882521726","122.36932082241692","137.7051278197858"
"42999","136.72948099756556","126.1367322791892","140.51315063095083"
"43999","142.36832872920007","133.01903578109278","146.89676077945052"
"44999","144.90430267511894","136.98628500744618","150.96147420402448"
"45999","149.50415960295317","143.11701084375773","154.48737224409462"
"46999","153.05530546980535","148.87269209178038","156.39849489566345"
"47999","156.04690928208726","153.31265149437465","159.28713723660718"
"48999","158.34365666679278","153.79392040536456","163.0060273237563"
"49999","160.06790392099867","154.47070952929803","169.31489810669953"
"50999","164.3037920268816","161.3741462065269","168.5318019438088"
"51999","164.27074511111758","160.43984783628366","168.04672584368865"
"52999","166.45848121625895","162.87113848514258","171.2032653858591"
"53999","168.67123100219578","161.35461197602058","175.4061596470763"
"54999","170.05869583047257","163.56223899436787","177.29216956203132"
"55999","171.5020829668066","167.60371790855635","175.302309189037"
"56999","170.96755004824425","165.19109500359534","177.54536484075157"
"57999","173.31044025757447","162.70176118233098","179.3713831913698"
"58999","175.73169581966204","166.56568062499704","181.3891732846956"
"59999","177.6631735577359","169.12837534198687","183.0600366882416"
"60999","176.64982227291847","170.31467261621643","182.84022356076977"
"61999","177.79855696320624","168.458759111406","183.2892381111547"
"62999","178.45975366578486","165.8441523102285","184.99941456183188"
"63999","178.4870238543805","168.31691639767166","185.56034824051"
"64999","180.26717057346124","170.23044564140082","190.1536263772704"
"65999","180.83101316993117","173.4059142749407","187.33321535805223"
"66999","184.27823557460525","176.14242533738644","191.98784040931872"
"67999","184.46802960242817","171.6192305963321","192.45970700766316"
"68999","187.59069380973722","178.84707488561082","192.9739070376844"
"69999","191.13722513621866","180.5719129657349","198.04123521980563"
"70999","192.92219979921538","182.74814507373665","203.51625992396652"
"71999","193.7516086124399","183.71470291003538","201.1658306532218"
"72999","195.69980812700885","181.47182952228368","202.75349748656296"
"73999","198.60430278627857","185.84734113608982","208.258076726385"
"74999","202.59663447490885","184.83436965276047","214.39422374678975"
"75999","205.4929350506339","187.66867429163648","217.11442647751198"
"76999","208.67349584314212","189.677886357953","221.19594767587745"
"77999","209.3050278067053","192.7574385792154","224.2921972984848"
"78999","214.50796513087872","199.76246138993042","223.73973619647458"
"79999","217.0206850569736","200.02045067178875","228.96625537034095"
"80999","219.6704538981018","199.44072162040075","232.08828097634836"
"81999","218.46551438869247","198.63823362286638","230.53521460325925"
"82999","220.39539185581808","202.01334900280864","229.53350113109244"
"83999","220.93180857020707","204.84002355265534","228.0378922666665"
"84999","222.47424659244672","203.87303404062226","230.10596046886985"
"85999","222.7176954400099","204.57696020446141","230.75268492950684"
"86999","224.2420418793751","208.72797257774366","230.25181386307588"
"87999","226.5162576168863","212.52706408502814","236.29963816845049"
"88999","228.24435056279248","210.78602381617958","239.99851689612922"
"89999","230.3020745065607","213.90632214212977","242.77655273587962"
"90999","233.0683594440132","214.6303985492463","249.710332805554"
"91999","232.03866775600895","212.72562699552265","249.13765714160365"
"92999","234.1402730829846","215.7754666392892","252.17273094551882"
"93999","235.08204984055584","216.68008951165527","250.9365055706419"
"94999","234.43953914692497","216.3276235581502","249.9289203932451"
"95999","236.41587073356112","219.28062729677345","249.61536971744655"
"96999","236.46760092378685","215.7213284894566","249.18345558141098"
"97999","236.86979319691818","217.6836939228267","248.12550097348492"
"98999","238.23358912341195","217.7218293501398","247.94092779661625"
"99999","241.09660162896503","220.55365754542828","251.69124956022176"
"100999","241.5372901838961","219.06471720486755","254.118166253803"
"101999","242.9003550276729","218.8039580550519","255.6635174874179"
"102999","242.887416196845","223.08734769430623","258.35767432393374"
"103999","242.9210485188151","221.8251357200009","256.8817762920221"
"104999","244.76602071828725","224.76618874401527","258.6404301707125"
"105999","246.71467459450682","225.05796387492614","263.8428388487359"
"106999","246.11846659617558","225.9635666555584","262.85841351182006"
"107999","249.43472157211312","227.55720330039986","267.354182935764"
"108999","248.02938188409638","224.45326143746246","266.67805881396333"
"109999","250.55933231349346","227.04557041024523","270.3176297368697"
"110999","251.57724465724678","230.29124288024263","269.9401277051312"
"111999","251.93136604239118","232.782704317896","271.7204760538044"
"112999","252.84978130695225","233.3992439673671","268.827425818935"
"113999","255.26461931725095","232.50068432590112","274.55887745472546"
"114999","256.34028680833427","231.64763266299383","276.8410578993883"
"115999","255.25753458457456","232.20290156702202","276.1009818569927"
"116999","256.78847097280106","232.7134930055761","279.36021135663145"
"117999","256.4046335897073","236.4458589384785","274.30110541311706"
"118999","259.7265136765706","237.69194142091376","281.51317443728874"
"119999","260.5097480646079","240.5882910483873","286.2886819671165"
"120999","259.557760575134","236.75317399400507","279.27761895745573"
"121999","261.5424585660393","238.80107925571986","287.4345498283122"
"122999","263.54496980778947","237.75155442364795","289.38224137478403"
"123999","262.0974438264538","237.49678421966786","287.7228428172458"
"124999","264.5719804806155","238.84609521831936","292.33028268800945"
"125999","265.558627964097","239.98565913987042","293.8754984273367"
"126999","265.6772646084623","236.00003574954076","298.1818468249932"
"127999","267.2486217089181","235.60042482840754","304.3002230552103"
"128999","233.76863447122506","133.76455616126051","284.6280638034528"
"129999","267.68957007047896","236.2126726412686","300.42096784468225"
"130999","269.5211426719842","236.1542122960267","310.78971482348436"
"131999","273.52335197572086","238.10664861237026","314.29823645230215"
"132999","273.5793802749864","238.11070219798276","314.4707121873553"
"133999","273.7650562105024","240.27738580140047","319.28858445631977"
"134999","274.53366597504765","239.0250105244287","320.18867756600974"
"135999","276.54866993413805","238.74320210338448","321.91184979347634"
"136999","278.81084134568744","237.7353832495256","330.48114398214034"
"137999","280.61563996282155","240.20931704142507","333.83912361926065"
"138999","281.3547422988315","240.4363303245113","334.26741350122643"
"139999","282.6295838950093","239.14120549087028","339.4304417739048"
"140999","284.50258175721046","240.54321198842516","341.44725609385074"
"141999","285.54510657074087","240.94605237580916","342.9949023570191"
"142999","288.272811736254","240.95363480540345","350.35850301491587"
"143999","289.3270245971827","243.3247087426862","347.7603182116344"
"144999","287.6292560293285","242.51502685993415","347.17985380928553"
"145999","287.91969147795663","241.65200850917296","340.4999280732123"
"146999","291.15144852472747","241.25627802979182","350.3626908184719"
"147999","292.29251140889124","242.04058546819272","350.69415578248055"
"148999","290.7449182592817","244.08334414549765","348.3987208866979"
"149999","292.51694592983057","245.85778414770533","348.17050534378404"
"150999","294.964824357267","245.22020361056352","355.81080648853276"
"151999","296.29531921127375","244.0707187073879","357.87042739465676"
"152999","297.98963079175553","247.58624430516517","358.55017932308067"
"153999","298.3735262452968","248.61163226191388","359.43307418450604"
"154999","299.3518443726294","251.80517193769293","355.4376796974369"
"155999","301.2644811602744","247.80720178365442","355.7665914210799"
"156999","300.31269870047356","245.20785798736827","365.17079865251577"
"157999","300.12717029729095","249.10771470589194","349.6304298797354"
"158999","300.15687008824","250.98690115669652","360.4734781198618"
"159999","303.54395578779514","248.4907347750862","370.3384482276165"
"160999","304.3695633284009","248.34832070950213","367.40504398425526"
"161999","302.4310877390706","251.23546785136793","353.6292904740337"
"162999","307.9531285960221","248.83819919612154","367.86456775577335"
"163999","305.12727543321506","247.42330059348242","364.81639075581535"
"164999","307.91794713660846","249.15198989971876","370.4296212146064"
"165999","306.0959040424738","251.46991183150791","362.9780922232068"
"166999","308.6833541447926","251.03283267238453","371.6985785500981"
"167999","306.2195099919539","255.48072225306962","359.34928107692537"
"168999","311.55438965391596","252.26316460804415","369.5498423837751"
"169999","314.3746945166938","259.0453149967469","374.38840030557526"
"170999","312.8999245286616","258.4698950231862","372.6328516063855"
"171999","312.6550876454161","256.28932614192763","372.8783251381303"
"172999","312.82563729598195","257.85944672748303","370.9255782598788"
"173999","316.086903945999","255.64662362365485","374.6110090586709"
"174999","315.69347635889164","257.5031521225335","370.7119919154824"
"175999","319.08716879083875","256.1612457636967","381.68673477945924"
"176999","316.3408279922719","254.38183413540486","372.0204729699599"
"177999","319.59259028843235","253.38242507603647","380.10126755470407"
"178999","320.91656654467744","257.8107978888541","376.4778774471272"
"179999","320.0941566231463","261.3210033799771","373.57118030034997"
"180999","322.7739234379806","257.2574293815047","382.1231191311344"
"181999","324.5469160404245","257.3913207576247","379.69087159150894"
"182999","328.4617231081608","258.0638080673016","391.7860781598167"
"183999","327.5850092260165","257.5048171370598","380.15096876572704"
"184999","328.6370763325775","255.2481064091375","384.3846508809637"
"185999","330.98835496262495","259.28077795594373","388.1879577529063"
"186999","333.3421619327568","256.6227034185721","385.5088853269194"
"187999","328.5440727102886","256.32247339233976","382.053956630005"
"188999","334.1769292443065","257.05700571630246","388.11557213370054"
"189999","333.16497999302885","257.6003358548963","390.0395651287359"
"190999","332.9971713862168","257.1957688994072","390.4389763723497"
"191999","337.7513748952068","258.28048305514443","396.42369774560746"
"192999","335.23023145402107","258.44759173490206","393.4907030094671"
"193999","337.38024138101883","253.4898976788835","402.84304637219714"
"194999","341.65066508626103","260.01852785526603","409.2053467642612"
"195999","339.02494819371566","259.19035529349986","404.9511660384205"
"196999","341.9468559401165","258.23483602604665","408.49780721171254"
"197999","342.0487479719446","260.1342187380674","412.61575886539293"
"198999","344.64778448763747","261.74425521726914","407.2696445863353"
"199999","342.5260235115061","260.09998559512053","411.6427014498026"
"200999","343.9746926547059","261.9771439060981","404.8429551405519"
"201999","343.13517912615634","261.7366812604989","410.2643600416922"
"202999","344.3777169656455","263.27275508171107","411.37662352568987"
"203999","347.04387745918774","267.656408775579","410.01645623321843"
"204999","345.593448863674","263.98732636032133","409.50283769921145"
"205999","347.4268412866142","271.14151677908285","403.7174906166276"
"206999","350.58450968877554","262.61995076585936","415.7626084649649"
"207999","348.3731387578103","263.1145176092202","411.30830193990596"
"208999","349.69423553261487","267.9365688447532","413.03360065359925"
"209999","348.2139385649065","269.8918288519011","414.0808720617966"
"210999","348.51433757516253","266.9469123529136","417.2871596021811"
"211999","349.91930636529787","267.06243019610224","411.7125936867624"
"212999","352.45400725844877","263.7426292799479","419.1926897442964"
"213999","352.52082972377707","268.7812293855174","418.34402203262096"
"214999","352.0034265413957","269.4776627096104","416.4146898335451"
"215999","353.7165641643127","266.7403124405449","413.4139981825756"
"216999","353.56370361949314","266.23141024073766","418.34955257775744"
"217999","352.6765918015894","265.5087732519717","419.9803034252569"
"218999","351.9146936441427","265.95185570441856","413.51589369350904"
"219999","354.2581112689484","267.4193926758805","415.25477507036203"
"220999","354.9694059606888","265.5871161090482","414.8826866026233"
"221999","355.5973855099465","268.21369781792293","417.58228262943436"
"222999","355.3335576054625","267.7082829684503","416.1921437623605"
"223999","354.5132756831098","267.7064817955361","421.1487003693631"
"224999","355.2098641100582","265.2768792298794","416.878511192037"
"225999","360.191535380521","266.1858898147915","423.9572189624989"
"226999","359.1871142238075","270.01583434666514","419.54798013838615"
"227999","356.00810613018155","265.79283361184486","420.58131284845257"
"228999","359.2881263257309","267.01167460379946","420.5390681647332"
"229999","355.60622951930196","262.88133465348477","423.9905282234696"
"230999","358.5346564037831","267.2439175542388","420.3116431110045"
"231999","360.14335991395046","264.469198894943","427.10388194944863"
"232999","360.2477206389598","263.8433514873761","424.786251494861"
"233999","360.46452937939193","267.95694837614724","424.698591299531"
"234999","358.77158521550126","261.4944079927466","424.55910183628646"
"235999","362.8727918601624","265.63480127401726","429.86353662357277"
"236999","363.07504733092645","268.2501346498139","427.9203538146112"
"237999","359.61893675630847","267.60056712578444","422.6618649910963"
"238999","361.94149825828856","269.21575710755224","430.151595757112"
"239999","361.5251678490141","264.5059206971465","423.3381160433755"
"240999","363.0056828965131","269.8561915300898","423.8192978719725"
"241999","363.34342208359095","267.1745077026093","429.591475411758"
"242999","363.448274744242","265.7569740188702","432.44264508149604"
"243999","364.28318187484314","267.7861380391681","433.7551653968434"
"244999","365.04296729137275","271.8537158815584","438.6450248895604"
"245999","361.8965510550152","270.0601409402987","423.4606200083922"
"246999","366.2932311929926","270.8609460618022","435.585207455347"
"247999","362.70952007412825","268.97602516040956","438.84468714226955"
