"objective_1","objective_2","objective_3","objective_4"
"-101.54832923320433","-0.5783094697764144","-0.3239714490649367","-0.5110744616355338"
"-92.15297109791972","-7.548920991244556","-0.18829602988019997","-0.47149897672208113"
"-66.24368194263255","-3.4786275465417176","-0.09506800840114141","-0.5432375559328503"
"-88.08268735047413","-4.382271861493689","-0.6815337407042726","-0.44675121864882544"
"-32.30511867839898","-7.151257779546879","-0.3702334410779966","-0.435070229349331"
"-109.26778514415199","0","-0.10302742348476066","-0.4848596340400399"
"-108.60544051216058","-0.11165322770957276","-0.18270344949672815","-0.5444277880032177"
"-62.09452204252612","0","-0.39994490967745533","-0.49788581511267554"
"-82.0184813289138","-0.09602829131428424","-0.44085651580633717","-0.47839325102094116"
"-79.07273386910155","0","-7.768020345925988","-0.48726542260728295"
"-107.027178986488","0","0","-0.5476348483421084"
"-130.63153142042944","0","0","-0.5006702589382879"
"-77.54206343875198","0","-14.181245223658328","-0.48514929073265256"
"-86.26325031112606","-0.08426684443095363","-1.5197113997565264","-0.4541402300151932"
"-108.37902747850826","0","-0.6969677319200415","-0.4842551344998676"
"-85.41567668688967","0","-2.448678546155893","-0.43782336717317627"
"-73.75248046282789","0","-22.242250406208644","-0.4928088176949787"
"-123.36072584248238","0","-1.3328036672574712","-0.479513816145008"
"169.60105956065723","-21.004661295155657","-3.738446900242127","-0.276144054217564"
"237.5741163130846","-30.33758185627505","-35.39710568820537","0.11316143635509994"
"201.8307354595735","-23.22357995366304","-3.092826654609408","-0.1602777421947434"
"248.5791635770144","-28.802181646177626","-30.13649775803676","-0.03257972237362859"
"170.46486234817644","-19.5904487560807","-2.8377354323573662","-0.3244332550616301"
"195.193492294462","-33.11795333801254","-25.438601261904758","-0.12008461087672143"
"153.16072982871802","-18.453819752758438","-2.7788620670010142","-0.2760173829674188"
"159.66697621689238","-41.17458174301009","-8.408111936964335","-0.07739321913947608"
"190.86202593646593","-32.978592454245344","-9.038768935454353","0.0857432221673871"
"196.55640373726823","-43.250510611702865","-9.662289686240445","0.0320197571480911"
"233.69444836627923","-44.42025616861277","-9.638329812832616","0.02164678770992045"
"224.76672737159174","-34.197457637262936","-19.640645740956604","-0.01052194671350642"
"215.40207358355323","-37.407928942724766","-12.339311881816236","0.06997474240191114"
"199.88401758480683","-37.58902238649712","-11.505611161891062","0.1336377864510767"
"218.04793847417264","-37.53007807388577","-24.87485129055393","0.09181061220860287"
"254.16771427473864","-33.99872310714013","-44.45255239210873","0.09634512510951329"
"239.89549056412883","-45.54042709822802","-18.111504731218837","0.005719092310437865"
"163.87420391897152","-37.278646550722854","-35.02245646499334","0.09136110039577654"
"254.8337568915668","-41.001733219648195","-27.40726010045542","0.12551726033912863"
"205.62559697897706","-38.43654376402607","-22.324058675460943","0.10362334986215815"
"206.75139785932964","-38.659039997958","-36.55162870115117","0.1407711713601166"
"220.19526151715067","-38.92173512027246","-25.80146554119233","0.07968945796904295"
"253.13107453776024","-35.17602900507681","-42.976572394870836","0.002255939445033328"
"225.48267288127894","-43.21169051538576","-24.41431031154632","0.09668425958986478"
"258.2152687175952","-43.38738618445559","-47.80891416062876","0.012706552882032868"