"Step","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"1","-150.2","-152","-145"
"2","-144","-154","-127"
"3","-147.8","-151","-144"
"4","-121.8","-153","-13"
"5","-145.6","-154","-134"
"6","-141.8","-149","-130"
"7","-148.6","-154","-145"
"8","-145.6","-150","-144"
"9","-148.8","-153","-141"
"10","-151","-153","-149"
"11","-156.6","-167","-152"
"12","-158.4","-169","-153"
"13","-154.6","-163","-144"
"14","-152","-176","-142"
"15","-159.2","-164","-154"
"16","-154.2","-159","-150"
"17","-159","-177","-144"
"18","-160.4","-169","-155"
"19","-157.8","-180","-144"
"20","-153.4","-162","-148"
"21","-163.4","-174","-150"
"22","-141.4","-170","-59"
"23","-156.2","-173","-146"
"24","-155.8","-161","-149"
"25","-164.6","-176","-155"
"26","-159","-166","-152"
"27","-160.2","-172","-148"
"28","-161","-170","-152"
"29","-140","-165","-64"
"30","-142.6","-165","-88"
"31","-126.2","-164","-66"
"32","-154.6","-166","-144"
"33","-159.2","-166","-148"
"34","-163.6","-174","-149"
"35","-160.2","-176","-148"
"36","-166.6","-179","-160"
"37","-154","-163","-143"
"38","-160.6","-173","-145"
"39","-157.2","-174","-150"
"40","-161.8","-174","-149"
"41","-162.2","-173","-152"
"42","-159.6","-172","-147"
"43","-140.4","-176","-81"
"44","-159.6","-167","-146"
"45","-156.2","-161","-146"
"46","-164","-180","-150"
"47","-131.4","-168","-14"
"48","-163.2","-171","-155"
"49","-164.2","-168","-158"
"50","-131.8","-167","-31"
"51","-167.4","-181","-156"
"52","-153.2","-172","-124"
"53","-162.2","-167","-155"
"54","-171","-183","-161"
"55","-157.8","-162","-153"
"56","-169.2","-176","-157"
"57","-160.8","-167","-154"
"58","-162.4","-172","-154"
"59","-152.6","-179","-92"
"60","-160.4","-164","-153"
"61","-162.4","-170","-157"
"62","-170.6","-182","-160"
"63","-167.6","-174","-157"
"64","-150","-169","-89"
"65","-148.4","-172","-78"
"66","-169.8","-175","-160"
"67","-162","-168","-156"
"68","-155.2","-171","-129"
"69","-137.2","-160","-114"
"70","-161","-175","-152"
"71","-148.8","-184","-78"
"72","-167.6","-173","-162"
"73","-117","-161","-13"
"74","-145.4","-173","-48"
"75","-167.2","-176","-154"
"76","-167","-175","-157"
"77","-171.8","-187","-155"
"78","-131.4","-176","-16"
"79","-160.2","-170","-137"
"80","-147","-177","-67"
"81","-158.6","-190","-101"
"82","-152","-177","-100"
"83","-168.8","-174","-164"
"84","-165.4","-183","-152"
"85","-171.6","-182","-164"
"86","-171.4","-188","-162"
"87","-165.4","-178","-145"
"88","-169","-185","-150"
"89","-172.6","-185","-159"
"90","-174.2","-186","-158"
"91","-160.6","-178","-129"
"92","-146.2","-180","-44"
"93","-154.4","-180","-100"
"94","-174.8","-196","-159"
"95","-165","-171","-160"
"96","-164.8","-192","-152"
"97","-173.6","-182","-157"
"98","-142.8","-176","-25"
"99","-169.6","-179","-159"
"100","-171.2","-177","-163"
"101","-173.4","-180","-166"
"102","-173.2","-177","-168"
"103","-174.6","-191","-165"
"104","-161.6","-172","-131"
"105","-152.8","-182","-79"
"106","-170.2","-180","-159"
"107","-157.6","-182","-100"
"108","-180.6","-190","-173"
"109","-165","-180","-157"
"110","-154.6","-176","-88"
"111","-178","-191","-164"
"112","-149","-176","-49"
"113","-165","-175","-159"
"114","-164.2","-178","-154"
"115","-175","-188","-157"
"116","-167.6","-185","-157"
"117","-173","-184","-158"
"118","-164.2","-170","-160"
"119","-160.6","-190","-100"
"120","-159.2","-185","-116"
"121","-176.6","-184","-162"
"122","-168.2","-193","-131"
"123","-171","-192","-157"
"124","-179","-185","-171"
"125","-134.8","-172","-29"
"126","-147.8","-182","-52"
"127","-179.2","-191","-159"
"128","-166","-186","-127"
"129","-163.4","-178","-149"
"130","-168","-183","-148"
"131","-173.8","-186","-164"
"132","-169.6","-183","-160"
"133","-132.8","-181","-45"
"134","-179.6","-198","-169"
"135","-161.4","-184","-135"
"136","-173.8","-183","-166"
"137","-152.4","-182","-73"
"138","-159.2","-180","-123"
"139","-164.8","-179","-153"
"140","-167.6","-181","-138"
"141","-154.2","-186","-83"
"142","-177.4","-185","-162"
"143","-174.2","-181","-163"
"144","-176.6","-190","-160"
"145","-173.2","-188","-164"
"146","-139.6","-184","-71"
"147","-131.4","-178","-64"
"148","-169.8","-182","-165"
"149","-182.4","-187","-175"
"150","-151.4","-189","-63"
"151","-172.4","-181","-157"
"152","-178.4","-190","-169"
"153","-174.8","-186","-164"
"154","-176.4","-189","-161"
"155","-180","-195","-158"
"156","-155.2","-195","-56"
"157","-168","-182","-162"
"158","-180.6","-186","-173"
"159","-172.8","-178","-165"
"160","-168","-178","-163"
"161","-148.4","-188","-24"
"162","-178.2","-186","-165"
"163","-153.6","-179","-127"
"164","-163.4","-190","-95"
"165","-177","-195","-160"
"166","-153.6","-178","-71"
"167","-174.6","-190","-165"
"168","-147","-178","-52"
"169","-148","-189","-37"
"170","-178.8","-196","-168"
"171","-173","-187","-154"
"172","-174","-179","-167"
"173","-176","-193","-145"
"174","-166.6","-183","-143"
"175","-174.4","-185","-161"
"176","-173.8","-193","-162"
"177","-178","-185","-169"
"178","-147.4","-188","-48"
"179","-170","-191","-113"
"180","-179","-192","-156"
"181","-167.6","-188","-128"
"182","-154.8","-178","-86"
"183","-179.4","-191","-165"
"184","-175.2","-194","-143"
"185","-185.6","-197","-175"
"186","-173.8","-199","-154"
"187","-159","-189","-50"
"188","-179.6","-194","-156"
"189","-179","-194","-165"
"190","-174.4","-195","-159"
"191","-143.4","-174","-62"
"192","-168.4","-185","-148"
"193","-144.2","-195","-31"
"194","-183","-195","-173"
"195","-178.4","-187","-172"
"196","-151.6","-183","-65"
"197","-171.2","-179","-159"
"198","-156.6","-185","-95"
"199","-175","-187","-166"
"200","-176","-193","-138"
"201","-157.4","-198","-68"
"202","-167.4","-184","-142"
"203","-165.8","-196","-104"
"204","-162.8","-189","-126"
"205","-153.8","-182","-89"
"206","-152.6","-195","-39"
"207","-149.2","-193","-48"
"208","-183.2","-196","-170"
"209","-176","-186","-161"
"210","-161.2","-196","-72"
"211","-161","-196","-50"
"212","-173.8","-182","-157"
"213","-175","-188","-145"
"214","-183.4","-193","-174"
"215","-182.2","-190","-167"
"216","-127.6","-187","-48"
"217","-182","-196","-166"
"218","-180.2","-195","-174"
"219","-156.6","-195","-67"
"220","-178.4","-192","-157"
"221","-176.2","-193","-130"
"222","-159.8","-194","-53"
"223","-175","-195","-120"
"224","-184.4","-193","-176"
"225","-139.4","-196","-43"
"226","-160.4","-192","-98"
"227","-183.6","-188","-174"
"228","-183.6","-191","-173"
"229","-148.4","-189","-66"
"230","-179","-188","-161"
"231","-96.4","-196","-7"
"232","-176.4","-192","-145"
"233","-169.2","-173","-167"
"234","-162.6","-187","-108"
"235","-175.6","-195","-146"
"236","-153.4","-197","-39"
"237","-172.8","-192","-139"
"238","-147.8","-196","-19"
"239","-145.6","-185","-7"
"240","-163.8","-194","-57"
"241","-156.8","-197","-71"
"242","-152.2","-190","-96"
"243","-156","-195","-94"
"244","-178.8","-182","-172"
"245","-183.2","-196","-165"
"246","-177.4","-190","-144"
"247","-183.6","-198","-169"
"248","-154.4","-190","-52"
"249","-149.4","-194","-73"
"250","-178.6","-192","-170"
"251","-144.6","-197","-54"
"252","-180","-191","-161"
"253","-168.4","-199","-74"
"254","-185.2","-193","-175"
"255","-172.8","-195","-110"
"256","-185.2","-194","-175"
"257","-186.8","-197","-171"
"258","-181.4","-198","-130"
"259","-160.8","-184","-110"
"260","-177","-197","-158"
"261","-158.8","-195","-58"
"262","-181.8","-190","-170"
"263","-179.6","-192","-175"
"264","-170.4","-200","-115"
"265","-183.8","-196","-170"
"266","-187.8","-196","-180"
"267","-160.6","-198","-34"
"268","-186.4","-196","-171"
"269","-160.8","-197","-46"
"270","-124.4","-171","-53"
"271","-170.4","-187","-124"
"272","-179.8","-194","-163"
"273","-177.4","-190","-160"
"274","-188.4","-195","-176"
"275","-184.8","-199","-164"
"276","-158","-192","-48"
"277","-175.2","-199","-127"
"278","-141.8","-189","-102"
"279","-185.4","-197","-163"
"280","-190.4","-198","-173"
"281","-125.2","-182","-9"
"282","-188.2","-195","-181"
"283","-153.6","-195","-59"
"284","-177.6","-197","-133"
"285","-182.2","-194","-168"
"286","-187.8","-196","-179"
"287","-187.6","-196","-176"
"288","-175.8","-196","-158"
"289","-171.8","-186","-162"
"290","-175.6","-195","-133"
"291","-167","-199","-58"
"292","-152.2","-193","-24"
"293","-171.8","-195","-139"
"294","-183.6","-196","-168"
"295","-160.2","-196","-55"
"296","-153.8","-199","-87"
"297","-191.2","-198","-182"
"298","-186.6","-198","-178"
"299","-172.4","-196","-109"
"300","-187.6","-198","-166"
"301","-140.6","-198","-59"
"302","-187.4","-192","-178"
"303","-181","-192","-165"
"304","-188.8","-198","-169"
"305","-173","-199","-149"
"306","-173","-192","-157"
"307","-188","-197","-178"
"308","-172.6","-182","-157"
"309","-187.2","-200","-178"
"310","-176.8","-196","-154"
"311","-160.4","-182","-90"
"312","-180","-187","-164"
"313","-156","-197","-65"
"314","-170","-180","-158"
"315","-178.2","-197","-128"
"316","-180.6","-194","-162"
"317","-154","-192","-19"
"318","-148.6","-194","-9"
"319","-180.2","-187","-172"
"320","-184.2","-198","-173"
"321","-176.6","-188","-154"
"322","-154.2","-184","-60"
"323","-186","-197","-177"
"324","-193.6","-198","-187"
"325","-180.2","-194","-168"
"326","-187.6","-199","-165"
"327","-162.4","-197","-115"
"328","-153.4","-190","-50"
"329","-168.2","-195","-104"
"330","-160.2","-197","-72"
"331","-144.2","-193","-46"
"332","-179.6","-196","-147"
"333","-151.4","-194","-32"
"334","-187.2","-196","-171"
"335","-173","-195","-123"
"336","-177.6","-197","-130"
"337","-139.8","-193","-47"
"338","-183.8","-196","-167"
"339","-191.6","-200","-181"
"340","-181","-196","-146"
"341","-169.6","-196","-70"
"342","-163.8","-198","-77"
"343","-170.8","-199","-64"
"344","-183.8","-194","-157"
"345","-181.6","-199","-171"
"346","-147.6","-191","-36"
"347","-189.8","-196","-177"
"348","-151.8","-192","-41"
"349","-187.2","-197","-171"
"350","-165.6","-196","-87"
"351","-196.2","-199","-193"
"352","-183.4","-194","-167"
"353","-191.8","-199","-180"
"354","-161.6","-197","-56"
"355","-182","-189","-165"
"356","-149","-199","-31"
"357","-144.2","-194","-31"
"358","-193.4","-197","-190"
"359","-194.6","-196","-193"
"360","-92.8","-177","-23"
"361","-187.6","-193","-182"
"362","-163.2","-198","-60"
"363","-169","-197","-100"
"364","-184.2","-199","-134"
"365","-171.6","-194","-98"
"366","-192.6","-198","-184"
"367","-185.6","-198","-157"
"368","-185.2","-198","-169"
"369","-188","-190","-185"
"370","-185.8","-198","-173"
"371","-167.4","-198","-66"
"372","-149.4","-196","-92"
"373","-183.6","-196","-149"
"374","-185.2","-197","-170"
"375","-182.8","-194","-170"
"376","-190.2","-197","-184"
"377","-125.2","-198","-63"
"378","-184.4","-197","-178"
"379","-195.6","-199","-192"
"380","-164.4","-199","-81"
"381","-132.8","-196","-24"
"382","-145.8","-198","-21"
"383","-179.8","-199","-130"
"384","-152.2","-192","-82"
"385","-186.4","-197","-148"
"386","-180.2","-192","-149"
"387","-193.8","-200","-187"
"388","-182.8","-198","-133"
"389","-156.4","-193","-32"
"390","-159.2","-197","-110"
"391","-172.6","-199","-106"
"392","-166.4","-199","-86"
"393","-189","-198","-178"
"394","-128.2","-199","-20"
"395","-196","-198","-194"
"396","-185","-197","-145"
"397","-156.6","-196","-9"
"398","-190","-197","-178"
"399","-149.2","-197","-78"
"400","-177","-199","-136"
"401","-170.4","-199","-66"
"402","-175.2","-195","-147"
"403","-166.8","-199","-59"
"404","-175.2","-199","-125"
"405","-171.4","-192","-142"
"406","-165.2","-196","-78"
"407","-186","-200","-163"
"408","-193.4","-198","-183"
"409","-166","-197","-131"
"410","-189.8","-195","-180"
"411","-146","-198","-61"
"412","-136.2","-196","-43"
"413","-169.2","-199","-54"
"414","-173.6","-199","-75"
"415","-176.2","-196","-107"
"416","-132","-196","-21"
"417","-154.6","-198","-101"
"418","-189.6","-196","-175"
"419","-152","-196","-25"
"420","-180.6","-195","-156"
"421","-156.8","-199","-92"
"422","-120","-199","-9"
"423","-159.2","-199","-32"
"424","-160.6","-197","-51"
"425","-181.8","-194","-158"
"426","-147.2","-195","-72"
"427","-158.2","-199","-31"
"428","-175","-197","-116"
"429","-176.4","-198","-100"
"430","-178","-197","-112"
"431","-151.4","-197","-5"
"432","-163.6","-196","-44"
"433","-145.6","-198","-67"
"434","-149.6","-196","-83"
"435","-189","-198","-170"
"436","-154.6","-198","-87"
"437","-138.8","-199","-12"
"438","-196.4","-198","-195"
"439","-183","-199","-130"
"440","-189","-198","-158"
"441","-160.6","-200","-27"
"442","-197","-200","-194"
"443","-130.8","-199","-30"
"444","-130.4","-199","-8"
"445","-160","-199","-9"
"446","-155.6","-196","-84"
"447","-189.6","-197","-165"
"448","-167.4","-198","-69"
"449","-140.6","-196","-83"
"450","-177.8","-199","-105"
"451","-134.6","-196","-46"
"452","-170.6","-198","-69"
"453","-193.4","-198","-183"
"454","-180.6","-198","-149"
"455","-191.2","-200","-172"
"456","-156.8","-198","-24"
"457","-161.4","-194","-62"
"458","-138.4","-195","-23"
"459","-140.2","-196","-28"
"460","-155.8","-198","-6"
"461","-129.4","-197","-16"
"462","-179.2","-198","-145"
"463","-143.6","-198","-27"
"464","-156.8","-198","-20"
"465","-181.4","-200","-123"
"466","-137.4","-198","-22"
"467","-157","-199","-42"
"468","-133.6","-197","-34"
"469","-172","-198","-76"
"470","-179.6","-199","-132"
"471","-166.6","-198","-45"
"472","-178.8","-197","-115"
"473","-184.8","-199","-135"
"474","-186.4","-198","-158"
"475","-169.2","-197","-63"
"476","-155.2","-197","-42"
"477","-149.2","-197","-31"
"478","-156.6","-195","-9"
"479","-162.4","-199","-76"
"480","-159","-198","-11"
"481","-149.2","-195","-10"
"482","-195.6","-199","-194"
"483","-146.4","-198","-16"
"484","-193.4","-198","-185"
"485","-176.6","-199","-99"
"486","-148.8","-195","-59"
"487","-127.8","-196","-5"
"488","-131","-198","-17"
"489","-162.2","-196","-76"
"490","-136.4","-194","-6"
"491","-86.2","-195","-9"
"492","-97.6","-198","-9"
"493","-118.6","-197","-34"
"494","-151.4","-200","-12"
"495","-131.8","-199","-22"
"496","-157.2","-197","-96"
"497","-153","-198","-89"
"498","-196.2","-200","-194"
"499","-97.6","-198","-5"
"500","-109.6","-197","-11"
"501","-159","-198","-24"
"502","-165.6","-197","-50"
"503","-173","-198","-78"
"504","-122.8","-197","-9"
"505","-143","-199","-23"
"506","-107.6","-198","-10"
"507","-194.2","-198","-185"
"508","-126","-199","-31"
"509","-150.6","-199","-75"
"510","-166.6","-198","-48"
"511","-126.2","-198","-65"
"512","-159.2","-199","-98"
"513","-150","-197","-32"
"514","-144.2","-198","-65"
"515","-184","-200","-129"
"516","-155.2","-197","-82"
"517","-126.2","-199","-28"
"518","-150","-198","-27"
"519","-142.6","-200","-65"
"520","-161.2","-198","-16"
"521","-169.4","-200","-105"
"522","-136.2","-199","-60"
"523","-158.4","-198","-8"
"524","-195.2","-197","-193"
"525","-118.4","-198","-17"
"526","-112","-196","-19"
"527","-152","-197","-79"
"528","-137.2","-198","-15"
"529","-183.4","-195","-170"
"530","-125.4","-199","-12"
"531","-146.6","-196","-28"
"532","-115.2","-195","-32"
"533","-159.8","-199","-42"
"534","-161.6","-199","-18"
"535","-167.2","-197","-100"
"536","-154.8","-198","-22"
"537","-180.2","-194","-129"
"538","-137.4","-199","-20"
"539","-178.8","-198","-103"
"540","-151.2","-195","-26"
"541","-158.4","-199","-38"
"542","-110.6","-199","-12"
"543","-160.6","-199","-12"
"544","-136.2","-196","-30"
"545","-137.2","-198","-47"
"546","-143.8","-197","-19"
"547","-168","-198","-52"
"548","-157.6","-197","-79"
"549","-170","-200","-65"
"550","-150.4","-197","-22"
"551","-129.2","-197","-6"
"552","-197.8","-199","-197"
"553","-101.6","-197","-22"
"554","-143.4","-196","-20"
"555","-114.2","-197","-16"
"556","-160.2","-199","-53"
"557","-102.2","-198","-5"
"558","-70.4","-195","-9"
"559","-86","-200","-13"
"560","-140.4","-199","-18"
"561","-101","-197","-10"
"562","-146.4","-197","-10"
"563","-99.8","-143","-42"
"564","-125.6","-197","-11"
"565","-196.4","-199","-194"
"566","-130.2","-197","-26"
"567","-154","-199","-70"
"568","-171.4","-197","-105"
"569","-123.2","-196","-42"
"570","-174","-197","-89"
"571","-118.4","-196","-8"
"572","-106.2","-195","-48"
"573","-112.4","-196","-20"
"574","-88.6","-197","-9"
"575","-144.4","-192","-91"
"576","-81.6","-196","-7"
"577","-77.4","-198","-19"
"578","-125.6","-199","-26"
"579","-67.2","-140","-29"
"580","-115.4","-198","-25"
"581","-70.2","-197","-14"
"582","-157.4","-199","-9"
"583","-162.4","-198","-22"
"584","-125.2","-196","-34"
"585","-143.6","-197","-60"
"586","-198","-199","-197"
"587","-192.2","-198","-181"
"588","-142","-197","-7"
"589","-132.4","-200","-6"
"590","-169","-197","-84"
"591","-140.8","-199","-17"
"592","-159.4","-199","-12"
"593","-45.8","-140","-11"
"594","-110.2","-197","-21"
"595","-127","-198","-6"
"596","-118.4","-197","-10"
"597","-124.2","-198","-9"
"598","-113.2","-198","-12"
"599","-129.2","-197","-32"
"600","-140.2","-199","-37"
"601","-161","-198","-127"
"602","-105.8","-199","-22"
"603","-48","-130","-9"
"604","-140.2","-198","-21"
"605","-102.6","-198","-21"
"606","-80.8","-198","-15"
"607","-53","-131","-10"
"608","-114.6","-197","-39"
"609","-124.2","-199","-11"
"610","-137.8","-198","-24"
"611","-118.2","-197","-13"
"612","-74.6","-197","-5"
"613","-114.6","-194","-10"
"614","-136.6","-198","-11"
"615","-77.2","-124","-33"
"616","-94","-197","-7"
"617","-90.2","-198","-9"
"618","-48","-194","-7"
"619","-141","-200","-11"
"620","-151","-200","-29"
"621","-143.8","-195","-8"
"622","-85.8","-197","-12"
"623","-141.8","-198","-33"
"624","-138","-197","-56"
"625","-106","-155","-7"
"626","-67","-98","-12"
"627","-58.4","-179","-7"
"628","-85.8","-175","-26"
"629","-86.4","-195","-8"
"630","-48.4","-123","-6"
"631","-53.4","-134","-6"
"632","-117.2","-199","-10"
